fileID,participant,f1,f2,vot,
ne03_kaka,ne03,770.42,1803.00,27.03,
ne03_kaka1,ne03,815.85,1737.45,25.44,
ne03_kaka2,ne03,882.83,1657.04,31.88,
ne03_keke,ne03,687.94,2637.73,26.18,
ne03_keke1,ne03,566.40,1748.94,29.82,
ne03_keke2,ne03,562.00,2547.78,32.45,
ne03_kiki,ne03,509.96,2714.90,33.47,
ne03_kiki1,ne03,401.15,2158.34,66.23,
ne03_kiki2,ne03,372.92,2810.92,53.59,
ne03_koko,ne03,507.21,1070.32,39.55,
ne03_koko1,ne03,556.78,1214.78,30.81,
ne03_koko2,ne03,570.58,1092.00,31.42,
ne03_kuku,ne03,516.12,991.68,39.03,
ne03_kuku1,ne03,464.95,1071.73,26.57,
ne03_kuku2,ne03,413.15,1060.31,33.55,
ne03_paka,ne03,841.03,1790.54,8.12,
ne03_paka1,ne03,725.57,1837.31,9.90,
ne03_paka2,ne03,731.68,1941.50,6.07,
ne03_peke,ne03,548.20,1501.93,6.66,
ne03_peke1,ne03,728.72,2485.14,26.57,
ne03_peke2,ne03,600.51,2291.02,8.54,
ne03_piki,ne03,363.86,2615.78,17.61,
ne03_piki1,ne03,379.52,1966.83,29.98,
ne03_piki2,ne03,392.12,2239.24,14.28,
ne03_poko,ne03,638.11,1121.62,5.95,
ne03_poko1,ne03,585.17,1183.71,30.16,
ne03_poko2,ne03,594.74,1101.79,28.74,
ne03_puku,ne03,825.70,1304.49,19.64,
ne03_puku1,ne03,428.63,971.71,43.50,
ne03_puku2,ne03,485.15,984.46,60.72,
ne03_taka,ne03,739.66,1834.86,14.64,
ne03_taka1,ne03,857.39,1749.53,19.78,
ne03_taka2,ne03,728.20,1405.65,12.05,
ne03_teke,ne03,577.15,1511.73,31.71,
ne03_teke1,ne03,575.33,1878.82,26.18,
ne03_teke2,ne03,564.87,1676.06,17.49,
ne03_tiki,ne03,387.65,2787.02,39.62,
ne03_tiki1,ne03,376.63,1570.61,70.08,
ne03_tiki2,ne03,412.79,1718.48,25.72,
ne03_toko,ne03,613.76,1098.72,25.44,
ne03_toko1,ne03,619.15,1193.41,30.11,
ne03_toko2,ne03,528.31,1043.77,18.33,
ne03_tuku,ne03,445.62,1096.96,30.49,
ne03_tuku1,ne03,428.52,1051.31,51.04,
ne03_tuku2,ne03,474.87,1125.31,35.00,
